pf,0F,po,so,flds,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,grp1,grp2,grp3,tested_f,modif_f,def_f,undef_f,f_values,description
,,DF,,,2,,U9,,,p,FSTP8?alias,EST,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DF,,MF,3,,,,,p,FISTP,Mwi,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Integer and Pop
,,DF,,,3,,U9,,,p,FSTP9?alias,EST,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DF,,,4,,,,,s,FBLD,ST,Mbcd,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Binary Coded Decimal
,,DF,E0,,4,,,,,,FNSTSW,AX,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Status Word
9B,,DF,E0,,4,,,,,,FSTSW,AX,,,,,x87fpu,control,,,123,,123,,Store x87 FPU Status Word
,,DF,,,5,,,,,s,FILD,ST,Mqi,,,,x87fpu,datamov,,,123,.1..,0.23,,Load Integer
,,DF,,,5,,,,,p,FUCOMIP,ST,EST,,,,x87fpu,compar,,,o...z.pc .1..,o...z.pc .1..,,o.......,Unordered Compare Floating Point Values and Set EFLAGS and Pop
,,DF,,,6,,,,,p,FBSTP,Mbcd,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store BCD Integer and Pop
,,DF,,,6,,,,,p,FCOMIP,ST,EST,,,,x87fpu,compar,,,o...z.pc .1..,o...z.pc .1..,,o.......,Compare Floating Point Values and Set EFLAGS and Pop
,,DF,,,7,,,,,p,FISTP,Mqi,ST,,,,x87fpu,datamov,,,123,.1..,0.23,,Store Integer and Pop
,,E0,,,,,D32,E,,,LOOPNZ,rCX,Jbs,,,,gen,branch,cond,....z...,,,,,Decrement count; Jump short if count!=0 and ZF=0
,,,,,,,,,,,LOOPNE,rCX,Jbs,,,,,,,,,,,,
,,E1,,,,,D32,E,,,LOOPZ,rCX,Jbs,,,,gen,branch,cond,....z...,,,,,Decrement count; Jump short if count!=0 and ZF=1
,,,,,,,,,,,LOOPE,rCX,Jbs,,,,,,,,,,,,
,,E2,,,,,D32,E,,,LOOP,rCX,Jbs,,,,gen,branch,cond,,,,,,Decrement count; Jump short if count!=0
,,E3,,,,,D32,E,,,JECXZ,Jbs,ECX,,,,gen,branch,cond,,,,,,Jump short if rCX register is 0
,,,,,,,,,,,JRCXZ,Jbs,RCX,,,,,,,,,,,,
,,E4,,w,,,,,f1,,IN,AL,Ib,,,,gen,inout,,,,,,,Input from Port
,,E5,,W,,,,,f1,,IN,eAX,Ib,,,,gen,inout,,,,,,,Input from Port
,,E6,,w,,,,,f1,,OUT,Ib,AL,,,,gen,inout,,,,,,,Output to Port
,,E7,,W,,,,,f1,,OUT,Ib,eAX,,,,gen,inout,,,,,,,Output to Port
,,E8,,,,,D32,,,,CALL,Jvds,,,,,gen,branch stack,,,,,,,Call Procedure
,,E9,,,,,D32,,,,JMP,Jvds,,,,,gen,branch,,,,,,,Jump
,,EA,,,,,,E,,,invalid,,,,,,,,,,,,,,Invalid Instruction in 64-Bit Mode
,,EB,,,,,,,,,JMP,Jbs,,,,,gen,branch,,,,,,,Jump
,,EC,,w,,,,,f1,,IN,AL,DX,,,,gen,inout,,,,,,,Input from Port
,,ED,,W,,,,,f1,,IN,eAX,DX,,,,gen,inout,,,,,,,Input from Port
,,EE,,w,,,,,f1,,OUT,DX,AL,,,,gen,inout,,,,,,,Output to Port
,,EF,,W,,,,,f1,,OUT,DX,eAX,,,,gen,inout,,,,,,,Output to Port
F0,,,,,,,,,,,LOCK,,,,,,prefix,,,,,,,,Assert LOCK# Signal Prefix
,,F1,,,,,D4,,,,undefined,,,,,,,,,,,,,,Undefined and Reserved; Does not Generate #UD
,,F1,,,,,U10,,,,INT1?part alias10,Fv,,,,,gen,break stack,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
,,,,,,,,,,,ICEBP?part alias10,Fv,,,,,,,,,,,,,
F2,,,,,,,D11,E,,,REPNZ,rCX,,,,,prefix,string,,....z...,,,,,Repeat String Operation Prefix
,,,,,,,,,,,REPNE,rCX,,,,,,,,,,,,,
F2,,,,,,,U11,E,,,REP,rCX,,,,,prefix,string,,,,,,,Repeat String Operation Prefix
F2,,,,,,,M,,,,no mnemonic,,,,,sse2,prefix,,,,,,,,Scalar Double-precision Prefix
F3,,,,,,,D11,E,,,REPZ,rCX,,,,,prefix,string,,....z...,,,,,Repeat String Operation Prefix
,,,,,,,,,,,REPE,rCX,,,,,,,,,,,,,
F3,,,,,,,D11,E,,,REP,rCX,,,,,prefix,string,,,,,,,Repeat String Operation Prefix
F3,,,,,,,M,,,,no mnemonic,,,,,sse1,prefix,,,,,,,,Scalar Single-precision Prefix
,,F4,,,,,,,0,,HLT,,,,,,system,,,,,,,,Halt
,,F5,,,,,,,,,CMC,,,,,,gen,flgctrl,,.......c,.......c,.......c,,,Complement Carry Flag
,,F6,,w,0,,,,,,TEST,Eb,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,F6,,w,1,,U12,,,,TEST?alias,Eb,Ib,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,F6,,w,2,,,,,L,NOT,Eb,,,,,gen,logical,,,,,,,One's Complement Negation
,,F6,,w,3,,,,,L,NEG,Eb,,,,,gen,arith,binary,,o..szapc,o..szapc,,,Two's Complement Negation
,,F6,,w,4,,,,,,MUL,AX,AL,Eb,,,gen,arith,binary,,o..szapc,o......c,...szap.,,Unsigned Multiply
,,F6,,w,5,,,,,,IMUL,AX,AL,Eb,,,gen,arith,binary,,o..szapc,o......c,...szap.,,Signed Multiply
,,F6,,w,6,,,,,,DIV,AL,AH,AX,Eb,,gen,arith,binary,,o..szapc,,o..szapc,,Unsigned Divide
,,F6,,w,7,,,,,,IDIV,AL,AH,AX,Eb,,gen,arith,binary,,o..szapc,,o..szapc,,Signed Divide
,,F7,,W,0,,,,,,TEST,Evqp,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,F7,,W,1,,U12,,,,TEST?alias,Evqp,Ivds,,,,gen,logical,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,F7,,W,2,,,,,L,NOT,Evqp,,,,,gen,logical,,,,,,,One's Complement Negation
,,F7,,W,3,,,,,L,NEG,Evqp,,,,,gen,arith,binary,,o..szapc,o..szapc,,,Two's Complement Negation
,,F7,,W,4,,,,,,MUL,rDX,rAX,Evqp,,,gen,arith,binary,,o..szapc,o......c,...szap.,,Unsigned Multiply
,,F7,,W,5,,,,,,IMUL,rDX,rAX,Evqp,,,gen,arith,binary,,o..szapc,o......c,...szap.,,Signed Multiply
,,F7,,W,6,,,,,,DIV,rDX,rAX,Evqp,,,gen,arith,binary,,o..szapc,,o..szapc,,Unsigned Divide
,,F7,,W,7,,,,,,IDIV,rDX,rAX,Evqp,,,gen,arith,binary,,o..szapc,,o..szapc,,Signed Divide
,,F8,,,,,,,,,CLC,,,,,,gen,flgctrl,,,.......c,.......c,,.......c,Clear Carry Flag
,,F9,,,,,,,,,STC,,,,,,gen,flgctrl,,,.......c,.......c,,.......C,Set Carry Flag
,,FA,,,,,,,f1,,CLI,,,,,,gen,flgctrl,,,..i.....,..i.....,,..i.....,Clear Interrupt Flag
,,FB,,,,,,,f1,,STI,,,,,,gen,flgctrl,,,..i.....,..i.....,,..I.....,Set Interrupt Flag
,,FC,,,,,,,,,CLD,,,,,,gen,flgctrl,,,.d......,.d......,,.d......,Clear Direction Flag
,,FD,,,,,,,,,STD,,,,,,gen,flgctrl,,,.d......,.d......,,.D......,Set Direction Flag
,,FE,,w,0,,,,,L,INC,Eb,,,,,gen,arith,binary,,o..szap.,o..szap.,,,Increment by 1
,,FE,,w,1,,,,,L,DEC,Eb,,,,,gen,arith,binary,,o..szap.,o..szap.,,,Decrement by 1
,,FF,,W,0,,,,,L,INC,Evqp,,,,,gen,arith,binary,,o..szap.,o..szap.,,,Increment by 1
,,FF,,W,1,,,,,L,DEC,Evqp,,,,,gen,arith,binary,,o..szap.,o..szap.,,,Decrement by 1
,,FF,,,2,,,,,,CALL,Ev,,,,,gen,branch stack,,,,,,,Call Procedure
,,FF,,,2,,D32,E,,,CALL,Eq,,,,,gen,branch stack,,,,,,,Call Procedure
,,FF,,,3,,D13,,,,CALLF,Mptp,,,,,gen,branch stack,,,,,,,Call Procedure
,,FF,,,4,,,,,,JMP,Ev,,,,,gen,branch,,,,,,,Jump
,,FF,,,4,,D32,E,,,JMP,Eq,,,,,gen,branch,,,,,,,Jump
,,FF,,,5,,D13,,,,JMPF,Mptp,,,,,gen,branch,,,,,,,Jump
,,FF,,,6,,,,,,PUSH,Ev,,,,,gen,stack,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,FF,,,6,,,E,,,PUSH,Evq,,,,,gen,stack,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
pf,0F,po,so,flds,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,grp1,grp2,grp3,tested?f,modif?f,def?f,undef?f,f?values,"description,?notes????????????????????????????????????????"
,0F,0,,,0,,,P,,,SLDT,Mw,LDTR,,,,system,,,,,,,,Store Local Descriptor Table Register
,,,,,,,,,,,SLDT,Rvqp,LDTR,,,,,,,,,,,,
,0F,0,,,1,,,P,,,STR,Mw,TR,,,,system,,,,,,,,Store Task Register
,,,,,,,,,,,STR,Rvqp,TR,,,,,,,,,,,,
,0F,0,,,2,,,P,0,,LLDT,LDTR,Ew,,,,system,,,,,,,,Load Local Descriptor Table Register
,0F,0,,,3,,,P,0,,LTR,TR,Ew,,,,system,,,,,,,,Load Task Register
,0F,0,,,4,,,P,,,VERR,Ew,,,,,system,,,,....z...,....z...,,,Verify a Segment for Reading
,0F,0,,,5,,,P,,,VERW,Ew,,,,,system,,,,....z...,....z...,,,Verify a Segment for Writing
,0F,0,,,6,IT+,,,,,JMPE,,,,,,system,branch,,,,,,,Jump to IA-64 Instruction Set
,0F,1,,,0,,,,,,SGDT,Ms,GDTR,,,,system,,,,,,,,Store Global Descriptor Table Register
,0F,1,C1,,0,,D33,P,0,,VMCALL,,,,,vmx,,,,,o..szapc,o..szapc,,,Call to VM Monitor
,0F,1,C2,,0,,D33,P,0,,VMLAUNCH,,,,,vmx,,,,,o..szapc,o..szapc,,,Launch Virtual Machine
,0F,1,C3,,0,,D33,P,0,,VMRESUME,,,,,vmx,,,,,o..szapc,o..szapc,,,Resume Virtual Machine
,0F,1,C4,,0,,D33,P,0,,VMXOFF,,,,,vmx,,,,,o..szapc,o..szapc,,,Leave VMX Operation
,0F,1,,,1,,,,,,SIDT,Ms,IDTR,,,,system,,,,,,,,Store Interrupt Descriptor Table Register
,0F,1,C8,,1,,,,0,,MONITOR,BAb,ECX,EDX,,sse3,sync,,,,,,,,Set Up Monitor Address
,0F,1,C9,,1,,,,0,,MWAIT,EAX,ECX,,,sse3,sync,,,,,,,,Monitor Wait
,0F,1,,,2,,,,0,,LGDT,GDTR,Ms,,,,system,,,,,,,,Load Global Descriptor Table Register
,0F,1,D0,,2,C2++,,,,,XGETBV,EDX,EAX,ECX,XCR,,system,,,,,,,,Get Value of Extended Control Register
,0F,1,D1,,2,C2++,,,0,,XSETBV,XCR,ECX,EDX,EAX,,system,,,,,,,,Set Extended Control Register
,0F,1,,,3,,,,0,,LIDT,IDTR,Ms,,,,system,,,,,,,,Load Interrupt Descriptor Table Register
,0F,1,,,4,,D14,,,,SMSW,Mw,MSW,,,,system,,,,,,,,Store Machine Status Word
,,,,,,,,,,,SMSW,Rvqp,MSW,,,,,,,,,,,,
,0F,1,,,6,,,,0,,LMSW,MSW,Ew,,,,system,,,,,,,,Load Machine Status Word
,0F,1,,,7,,,,0,,INVLPG,M,,,,,system,,,,,,,,Invalidate TLB Entry
,0F,1,F8,,7,,,E,0,,SWAPGS,GS,I...,,,,system,,,,,,,,Swap GS Base Register
,0F,1,F9,,7,C7+,,,f2,,RDTSCP,EAX,EDX,ECX,...,,system,,,,,,,,Read Time-Stamp Counter and Processor ID
,0F,2,,,r,,,P,,,LAR,Gvqp,Mw,,,,system,,,,....z...,....z...,,,Load Access Rights Byte
,,,,,,,,,,,LAR,Gvqp,Rv,,,,,,,,,,,,
,0F,3,,,r,,,P,,,LSL,Gvqp,Mw,,,,system,,,,....z...,....z...,,,Load Segment Limit
,,,,,,,,,,,LSL,Gvqp,Rv,,,,,,,,,,,,
,0F,5,,,,,D15,E,,,SYSCALL,RCX,R11,SS,...,,system,branch,,,,,,,Fast System Call
,0F,6,,,,,,,0,,CLTS,CR0,,,,,system,,,,,,,,Clear Task-Switched Flag in CR0
,0F,7,,,,,,E,0,,SYSRET,SS,Fd,R11,...,,system,branch,trans,,,,,,Return From Fast System Call
,0F,8,,,,,,,0,,INVD,,,,,,system,,,,,,,,Invalidate Internal Caches
,0F,9,,,,,,,0,,WBINVD,,,,,,system,,,,,,,,Write Back and Invalidate Cache
,0F,0B,,,,,,,,,UD2,,,,,,gen,control,,,,,,,Undefined Instruction
,0F,0D,,,,,M16,,,,NOP,Ev,,,,,gen,control,,,,,,,No Operation
,0F,10,,,r,,,,,,MOVUPS,Vps,Wps,,,sse1,simdfp,datamov,,,,,,,Move Unaligned Packed Single-FP Values
F3,0F,10,,,r,,,,,,MOVSS,Vss,Wss,,,sse1,simdfp,datamov,,,,,,,Move Scalar Single-FP Values
66,0F,10,,,r,,,,,,MOVUPD,Vpd,Wpd,,,sse2,pcksclr,datamov,,,,,,,Move Unaligned Packed Double-FP Value
F2,0F,10,,,r,,,,,,MOVSD,Vsd,Wsd,,,sse2,pcksclr,datamov,,,,,,,Move Scalar Double-FP Value
,0F,11,,,r,,,,,,MOVUPS,Wps,Vps,,,sse1,simdfp,datamov,,,,,,,Move Unaligned Packed Single-FP Values
F3,0F,11,,,r,,,,,,MOVSS,Wss,Vss,,,sse1,simdfp,datamov,,,,,,,Move Scalar Single-FP Values
66,0F,11,,,r,,,,,,MOVUPD,Wpd,Vpd,,,sse2,pcksclr,datamov,,,,,,,Move Unaligned Packed Double-FP Values
F2,0F,11,,,r,,,,,,MOVSD,Wsd,Vsd,,,sse2,pcksclr,datamov,,,,,,,Move Scalar Double-FP Value
,0F,12,,,r,,,,,,MOVHLPS,Vq,Uq,,,sse1,simdfp,datamov,,,,,,,Move Packed Single-FP Values High to Low
,0F,12,,,r,,,,,,MOVLPS,Vq,Mq,,,sse1,simdfp,datamov,,,,,,,Move Low Packed Single-FP Values
66,0F,12,,,r,,,,,,MOVLPD,Vq,Mq,,,sse2,pcksclr,datamov,,,,,,,Move Low Packed Double-FP Value
F2,0F,12,,,r,,,,,,MOVDDUP,Vq,Wq,,,sse3,simdfp,datamov,,,,,,,Move One Double-FP and Duplicate
F3,0F,12,,,r,,,,,,MOVSLDUP,Vq,Wq,,,sse3,simdfp,datamov,,,,,,,Move Packed Single-FP Low and Duplicate
,0F,13,,,r,,,,,,MOVLPS,Mq,Vq,,,sse1,simdfp,datamov,,,,,,,Move Low Packed Single-FP Values
66,0F,13,,,r,,,,,,MOVLPD,Mq,Vq,,,sse2,pcksclr,datamov,,,,,,,Move Low Packed Double-FP Value
,0F,14,,,r,,,,,,UNPCKLPS,Vps,Wq,,,sse1,simdfp,shunpck,,,,,,,Unpack and Interleave Low Packed Single-FP Values
66,0F,14,,,r,,,,,,UNPCKLPD,Vpd,Wpd,,,sse2,pcksclr,shunpck,,,,,,,Unpack and Interleave Low Packed Double-FP Values
,0F,15,,,r,,,,,,UNPCKHPS,Vps,Wq,,,sse1,simdfp,shunpck,,,,,,,Unpack and Interleave High Packed Single-FP Values
66,0F,15,,,r,,,,,,UNPCKHPD,Vpd,Wpd,,,sse2,pcksclr,shunpck,,,,,,,Unpack and Interleave High Packed Double-FP Values
,0F,16,,,r,,,,,,MOVLHPS,Vq,Uq,,,sse1,simdfp,datamov,,,,,,,Move Packed Single-FP Values Low to High
,0F,16,,,r,,,,,,MOVHPS,Vq,Mq,,,sse1,simdfp,datamov,,,,,,,Move High Packed Single-FP Values
66,0F,16,,,r,,,,,,MOVHPD,Vq,Mq,,,sse2,pcksclr,datamov,,,,,,,Move High Packed Double-FP Value
F3,0F,16,,,r,,,,,,MOVSHDUP,Vq,Wq,,,sse3,simdfp,datamov,,,,,,,Move Packed Single-FP High and Duplicate
,0F,17,,,r,,,,,,MOVHPS,Mq,Vq,,,sse1,simdfp,datamov,,,,,,,Move High Packed Single-FP Values
66,0F,17,,,r,,,,,,MOVHPD,Mq,Vq,,,sse2,pcksclr,datamov,,,,,,,Move High Packed Double-FP Value
,0F,18,,,0,,,,,,PREFETCHNTA,Mb,,,,sse1,fetch,,,,,,,,Prefetch Data Into Caches
,0F,18,,,1,,,,,,PREFETCHT0,Mb,,,,sse1,fetch,,,,,,,,Prefetch Data Into Caches
,0F,18,,,2,,,,,,PREFETCHT1,Mb,,,,sse1,fetch,,,,,,,,Prefetch Data Into Caches
,0F,18,,,3,,,,,,PREFETCHT2,Mb,,,,sse1,fetch,,,,,,,,Prefetch Data Into Caches
,0F,18,,,4,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,18,,,5,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,18,,,6,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,18,,,7,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,19,,,,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1A,,,,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1B,,,,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1C,,,,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1D,,,,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1E,,,,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1F,,,0,,,,,,NOP,Ev,,,,,gen,control,,,,,,,No Operation
,0F,1F,,,1,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1F,,,2,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1F,,,3,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1F,,,4,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1F,,,5,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1F,,,6,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,1F,,,7,,M17,,,,HINT_NOP,Ev,,,,,gen,control,,,,,,,Hintable NOP
,0F,20,,,r,,,E,0,,MOV,Rq,Cq,,,,system,,,,o..szapc,,o..szapc,,Move to/from Control Registers
,0F,20,,,r,,U18,E,0,,MOV,Hq,Cq,,,,system,,,,o..szapc,,o..szapc,,Move to/from Control Registers
,0F,21,,,r,,,E,0,,MOV,Rq,Dq,,,,system,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
,0F,21,,,r,,U18,E,0,,MOV,Hq,Dq,,,,system,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
,0F,22,,,r,,,E,0,,MOV,Cq,Rq,,,,system,,,,o..szapc,,o..szapc,,Move to/from Control Registers
,0F,22,,,r,,U18,E,0,,MOV,Cq,Hq,,,,system,,,,o..szapc,,o..szapc,,Move to/from Control Registers
,0F,23,,,r,,,E,0,,MOV,Dq,Rq,,,,system,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
,0F,23,,,r,,U18,E,0,,MOV,Dq,Hq,,,,system,,,,o..szapc,,o..szapc,,Move to/from Debug Registers
,0F,28,,,r,,,,,,MOVAPS,Vps,Wps,,,sse1,simdfp,datamov,,,,,,,Move Aligned Packed Single-FP Values
66,0F,28,,,r,,,,,,MOVAPD,Vpd,Wpd,,,sse2,pcksclr,datamov,,,,,,,Move Aligned Packed Double-FP Values
,0F,29,,,r,,,,,,MOVAPS,Wps,Vps,,,sse1,simdfp,datamov,,,,,,,Move Aligned Packed Single-FP Values
66,0F,29,,,r,,,,,,MOVAPD,Wpd,Vpd,,,sse2,pcksclr,datamov,,,,,,,Move Aligned Packed Double-FP Values
,0F,2A,,,r,,,,,,CVTPI2PS,Vps,Qpi,,,sse1,conver,,,,,,,,Convert Packed DW Integers to Single-FP Values
F3,0F,2A,,,r,,,,,,CVTSI2SS,Vss,Edqp,,,sse1,conver,,,,,,,,Convert DW Integer to Scalar Single-FP Value
66,0F,2A,,,r,,,,,,CVTPI2PD,Vpd,Qpi,,,sse2,pcksclr,conver,,,,,,,Convert Packed DW Integers to Double-FP Values
F2,0F,2A,,,r,,,,,,CVTSI2SD,Vsd,Edqp,,,sse2,pcksclr,conver,,,,,,,Convert DW Integer to Scalar Double-FP Value
,0F,2B,,,r,,,,,,MOVNTPS,Mps,Vps,,,sse1,cachect,,,,,,,,Store Packed Single-FP Values Using Non-Temporal Hint
66,0F,2B,,,r,,,,,,MOVNTPD,Mpd,Vpd,,,sse2,cachect,,,,,,,,Store Packed Double-FP Values Using Non-Temporal Hint
,0F,2C,,,r,,,,,,CVTTPS2PI,Ppi,Wpsq,,,sse1,conver,,,,,,,,Convert with Trunc. Packed Single-FP Values to DW Integers
F3,0F,2C,,,r,,,,,,CVTTSS2SI,Gdqp,Wss,,,sse1,conver,,,,,,,,Convert with Trunc. Scalar Single-FP Value to DW Integer
66,0F,2C,,,r,,,,,,CVTTPD2PI,Ppi,Wpd,,,sse2,pcksclr,conver,,,,,,,Convert with Trunc. Packed Double-FP Values to DW Integers
F2,0F,2C,,,r,,,,,,CVTTSD2SI,Gdqp,Wsd,,,sse2,pcksclr,conver,,,,,,,Conv. with Trunc. Scalar Double-FP Value to Signed DW Int
,0F,2D,,,r,,,,,,CVTPS2PI,Ppi,Wpsq,,,sse1,conver,,,,,,,,Convert Packed Single-FP Values to DW Integers
F3,0F,2D,,,r,,,,,,CVTSS2SI,Gdqp,Wss,,,sse1,conver,,,,,,,,Convert Scalar Single-FP Value to DW Integer
66,0F,2D,,,r,,,,,,CVTPD2PI,Ppi,Wpd,,,sse2,pcksclr,conver,,,,,,,Convert Packed Double-FP Values to DW Integers
F2,0F,2D,,,r,,,,,,CVTSD2SI,Gdqp,Wsd,,,sse2,pcksclr,conver,,,,,,,Convert Scalar Double-FP Value to DW Integer
,0F,2E,,,r,,,,,,UCOMISS,Vss,Wss,,,sse1,simdfp,compar,,,....z.pc,....z.pc,,,Unordered Compare Scalar Single-FP Values and Set EFLAGS
66,0F,2E,,,r,,,,,,UCOMISD,Vsd,Wsd,,,sse2,pcksclr,compar,,,....z.pc,....z.pc,,,Unordered Compare Scalar Double-FP Values and Set EFLAGS
,0F,2F,,,r,,,,,,COMISS,Vss,Wss,,,sse1,simdfp,compar,,,....z.pc,....z.pc,,,Compare Scalar Ordered Single-FP Values and Set EFLAGS
66,0F,2F,,,r,,,,,,COMISD,Vsd,Wsd,,,sse2,pcksclr,compar,,,....z.pc,....z.pc,,,Compare Scalar Ordered Double-FP Values and Set EFLAGS
,0F,30,,,,,,,0,,WRMSR,MSR,rCX,rAX,rDX,,system,,,,,,,,Write to Model Specific Register
,0F,31,,,,,,,f2,,RDTSC,EAX,EDX,I...,,,system,,,,,,,,Read Time-Stamp Counter
,0F,32,,,,,,,0,,RDMSR,rAX,rDX,rCX,MSR,,system,,,,,,,,Read from Model Specific Register
,0F,33,,,,,,,f3,,RDPMC,EAX,EDX,PMC,,,system,,,,,,,,Read Performance-Monitoring Counters
,0F,34,,Sr,,,D19,E,,,SYSENTER,SS,RSP,I...,...,,system,branch,,,..i.....,..i.....,,..i.....,Fast System Call
,0F,35,,Sr,,,D20,P,0,,SYSEXIT,SS,eSP,I...,...,,system,branch,trans,,,,,,Fast Return from Fast System Call
,0F,37,,,,C2++,D21,,,,GETSEC,EAX,,,,smx,,,,,,,,,GETSEC Leaf Functions
66,0F,38,80,,r,C2++,D33,E,0,,INVEPT,Gq,Mdq,,,vmx,,,,,o..szapc,o..szapc,,,Invalidate Translations Derived from EPT
66,0F,38,81,,r,C2++,D33,E,0,,INVVPID,Gq,Mdq,,,vmx,,,,,o..szapc,o..szapc,,,Invalidate Translations Based on VPID
,0F,38,F0,,r,C2++,,,,,MOVBE,Gvqp,Mvqp,,,,gen,datamov,,,,,,,Move Data After Swapping Bytes
F2,0F,38,F0,,r,C2++,D34,,,,CRC32,Gdqp,Eb,,,sse42,,,,,,,,,Accumulate CRC32 Value
,0F,38,F1,,r,C2++,,,,,MOVBE,Mvqp,Gvqp,,,,gen,datamov,,,,,,,Move Data After Swapping Bytes
F2,0F,38,F1,,r,C2++,D34,,,,CRC32,Gdqp,Evqp,,,sse42,,,,,,,,,Accumulate CRC32 Value
66,0F,3A,8,,r,C2++,D34,,,,ROUNDPS,Vps,Wps,Ib,,sse41,simdfp,conver,,,,,,,Round Packed Single-FP Values
