pf,0F,po,so,flds,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,grp1,grp2,grp3,tested_f,modif_f,def_f,undef_f,f_values,description
66,0F,3A,9,,r,C2++,D34,,,,ROUNDPD,Vps,Wpd,Ib,,sse41,simdfp,conver,,,,,,,Round Packed Double-FP Values
66,0F,3A,0A,,r,C2++,D34,,,,ROUNDSS,Vss,Wss,Ib,,sse41,simdfp,conver,,,,,,,Round Scalar Single-FP Values
66,0F,3A,0B,,r,C2++,D34,,,,ROUNDSD,Vsd,Wsd,Ib,,sse41,simdfp,conver,,,,,,,Round Scalar Double-FP Values
66,0F,3A,0C,,r,C2++,D34,,,,BLENDPS,Vps,Wps,Ib,,sse41,simdfp,datamov,,,,,,,Blend Packed Single-FP Values
66,0F,3A,0D,,r,C2++,D34,,,,BLENDPD,Vpd,Wpd,Ib,,sse41,simdfp,datamov,,,,,,,Blend Packed Double-FP Values
66,0F,3A,0E,,r,C2++,D34,,,,PBLENDW,Vdq,Wdq,Ib,,sse41,simdint,datamov,,,,,,,Blend Packed Words
,0F,3A,0F,,r,C2+,,,,,PALIGNR,Pq,Qq,,,ssse3,simdint,,,,,,,,Packed Align Right
66,0F,3A,0F,,r,C2+,,,,,PALIGNR,Vdq,Wdq,,,ssse3,simdint,,,,,,,,Packed Align Right
66,0F,3A,14,,r,C2++,D34,,,,PEXTRB,Mb,Vdq,Ib,,sse41,simdint,datamov,,,,,,,Extract Byte
,,,,,,,,,,,PEXTRB,Rdqp,Vdq,Ib,,,,,,,,,,,
66,0F,3A,15,,r,C2++,D34,,,,PEXTRW,Mw,Vdq,Ib,,sse41,simdint,datamov,,,,,,,Extract Word
,,,,,,,,,,,PEXTRW,Rdqp,Vdq,Ib,,,,,,,,,,,
66,0F,3A,16,,r,C2++,D34,,,,PEXTRD,Ed,Vdq,Ib,,sse41,simdint,datamov,,,,,,,Extract Dword/Qword
,,,,,,,,,,,PEXTRQ,Eqp,Vdq,Ib,,,,,,,,,,,
66,0F,3A,17,,r,C2++,D34,,,,EXTRACTPS,Ed,Vdq,Ib,,sse41,simdfp,datamov,,,,,,,Extract Packed Single-FP Value
66,0F,3A,20,,r,C2++,D34,,,,PINSRB,Vdq,Mb,Ib,,sse41,simdint,datamov,,,,,,,Insert Byte
,,,,,,,,,,,PINSRB,Vdq,Rdqp,Ib,,,,,,,,,,,
66,0F,3A,21,,r,C2++,D34,,,,INSERTPS,Vps,Md,Ib,,sse41,simdfp,datamov,,,,,,,Insert Packed Single-FP Value
,,,,,,,,,,,INSERTPS,Vps,Ups,Ib,,,,,,,,,,,
66,0F,3A,22,,r,C2++,D34,,,,PINSRD,Vdq,Ed,Ib,,sse41,simdint,datamov,,,,,,,Insert Dword/Qword
,,,,,,,,,,,PINSRQ,Vdq,Eqp,Ib,,,,,,,,,,,
66,0F,3A,40,,r,C2++,D34,,,,DPPS,Vps,Wps,,,sse41,simdfp,arith,,,,,,,Dot Product of Packed Single-FP Values
66,0F,3A,41,,r,C2++,D34,,,,DPPD,Vpd,Wpd,,,sse41,simdfp,arith,,,,,,,Dot Product of Packed Double-FP Values
66,0F,3A,42,,r,C2++,D34,,,,MPSADBW,Vdq,Wdq,Ib,,sse41,simdint,arith,,,,,,,Compute Multiple Packed Sums of Absolute Difference
66,0F,3A,60,,r,C2++,D34,,,,PCMPESTRM,XMM0,Vdq,Wdq,...,sse42,strtxt,,,,o..szapc,o..szapc,,.....ap.,"Packed Compare Explicit Length Strings, Return Mask"
66,0F,3A,61,,r,C2++,D34,,,,PCMPESTRI,rCX,Vdq,Wdq,...,sse42,strtxt,,,,o..szapc,o..szapc,,.....ap.,"Packed Compare Explicit Length Strings, Return Index"
66,0F,3A,62,,r,C2++,D34,,,,PCMPISTRM,XMM0,Vdq,Wdq,Ib,sse42,strtxt,,,,o..szapc,o..szapc,,.....ap.,"Packed Compare Implicit Length Strings, Return Mask"
66,0F,3A,63,,r,C2++,D34,,,,PCMPISTRI,rCX,Vdq,Wdq,Ib,sse42,strtxt,,,,o..szapc,o..szapc,,.....ap.,"Packed Compare Implicit Length Strings, Return Index"
,0F,40,,tttn,r,,D23,,,,CMOVO,Gvqp,Evqp,,,,gen,datamov,,o.......,,,,,Conditional Move - overflow (OF=1)
,0F,41,,tttN,r,,D23,,,,CMOVNO,Gvqp,Evqp,,,,gen,datamov,,o.......,,,,,Conditional Move - not overflow (OF=0)
,0F,42,,ttTn,r,,D23,,,,CMOVB,Gvqp,Evqp,,,,gen,datamov,,.......c,,,,,Conditional Move - below/not above or equal/carry (CF=1)
,,,,,,,,,,,CMOVNAE,Gvqp,Evqp,,,,,,,,,,,,
,,,,,,,,,,,CMOVC,Gvqp,Evqp,,,,,,,,,,,,
,0F,43,,ttTN,r,,D23,,,,CMOVNB,Gvqp,Evqp,,,,gen,datamov,,.......c,,,,,Conditional Move - not below/above or equal/not carry (CF=0)
,,,,,,,,,,,CMOVAE,Gvqp,Evqp,,,,,,,,,,,,
,,,,,,,,,,,CMOVNC,Gvqp,Evqp,,,,,,,,,,,,
,0F,44,,tTtn,r,,D23,,,,CMOVZ,Gvqp,Evqp,,,,gen,datamov,,....z...,,,,,Conditional Move - zero/equal (ZF=1)
,,,,,,,,,,,CMOVE,Gvqp,Evqp,,,,,,,,,,,,
,0F,45,,tTtN,r,,D23,,,,CMOVNZ,Gvqp,Evqp,,,,gen,datamov,,....z...,,,,,Conditional Move - not zero/not equal (ZF=0)
,,,,,,,,,,,CMOVNE,Gvqp,Evqp,,,,,,,,,,,,
,0F,46,,tTTn,r,,D23,,,,CMOVBE,Gvqp,Evqp,,,,gen,datamov,,....z..c,,,,,Conditional Move - below or equal/not above (CF=1 OR ZF=1)
,,,,,,,,,,,CMOVNA,Gvqp,Evqp,,,,,,,,,,,,
,0F,47,,tTTN,r,,D23,,,,CMOVNBE,Gvqp,Evqp,,,,gen,datamov,,....z..c,,,,,Conditional Move - not below or equal/above (CF=0 AND ZF=0)
,,,,,,,,,,,CMOVA,Gvqp,Evqp,,,,,,,,,,,,
,0F,48,,Tttn,r,,D23,,,,CMOVS,Gvqp,Evqp,,,,gen,datamov,,...s....,,,,,Conditional Move - sign (SF=1)
,0F,49,,TttN,r,,D23,,,,CMOVNS,Gvqp,Evqp,,,,gen,datamov,,...s....,,,,,Conditional Move - not sign (SF=0)
,0F,4A,,TtTn,r,,D23,,,,CMOVP,Gvqp,Evqp,,,,gen,datamov,,......p.,,,,,Conditional Move - parity/parity even (PF=1)
,,,,,,,,,,,CMOVPE,Gvqp,Evqp,,,,,,,,,,,,
,0F,4B,,TtTN,r,,D23,,,,CMOVNP,Gvqp,Evqp,,,,gen,datamov,,......p.,,,,,Conditional Move - not parity/parity odd (PF=0)
,,,,,,,,,,,CMOVPO,Gvqp,Evqp,,,,,,,,,,,,
,0F,4C,,TTtn,r,,D23,,,,CMOVL,Gvqp,Evqp,,,,gen,datamov,,o..s....,,,,,Conditional Move - less/not greater (SF!=OF)
,,,,,,,,,,,CMOVNGE,Gvqp,Evqp,,,,,,,,,,,,
,0F,4D,,TTtN,r,,D23,,,,CMOVNL,Gvqp,Evqp,,,,gen,datamov,,o..s....,,,,,Conditional Move - not less/greater or equal (SF=OF)
,,,,,,,,,,,CMOVGE,Gvqp,Evqp,,,,,,,,,,,,
,0F,4E,,TTTn,r,,D23,,,,CMOVLE,Gvqp,Evqp,,,,gen,datamov,,o..sz...,,,,,Conditional Move - less or equal/not greater ((ZF=1) OR (SF!=OF))
,,,,,,,,,,,CMOVNG,Gvqp,Evqp,,,,,,,,,,,,
,0F,4F,,TTTN,r,,D23,,,,CMOVNLE,Gvqp,Evqp,,,,gen,datamov,,o..sz...,,,,,Conditional Move - not less nor equal/greater ((ZF=0) AND (SF=OF))
,,,,,,,,,,,CMOVG,Gvqp,Evqp,,,,,,,,,,,,
,0F,50,,,r,,,,,,MOVMSKPS,Gdqp,Ups,,,sse1,simdfp,datamov,,,,,,,Extract Packed Single-FP Sign Mask
66,0F,50,,,r,,,,,,MOVMSKPD,Gdqp,Upd,,,sse2,pcksclr,datamov,,,,,,,Extract Packed Double-FP Sign Mask
,0F,51,,,r,,,,,,SQRTPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Compute Square Roots of Packed Single-FP Values
F3,0F,51,,,r,,,,,,SQRTSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Compute Square Root of Scalar Single-FP Value
66,0F,51,,,r,,,,,,SQRTPD,Vpd,Wpd,,,sse2,pcksclr,arith,,,,,,,Compute Square Roots of Packed Double-FP Values
F2,0F,51,,,r,,,,,,SQRTSD,Vsd,Wsd,,,sse2,pcksclr,arith,,,,,,,Compute Square Root of Scalar Double-FP Value
,0F,52,,,r,,,,,,RSQRTPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Compute Recipr. of Square Roots of Packed Single-FP Values
F3,0F,52,,,r,,,,,,RSQRTSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Compute Recipr. of Square Root of Scalar Single-FP Value
,0F,53,,,r,,,,,,RCPPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Compute Reciprocals of Packed Single-FP Values
F3,0F,53,,,r,,,,,,RCPSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Compute Reciprocal of Scalar Single-FP Values
,0F,54,,,r,,,,,,ANDPS,Vps,Wps,,,sse1,simdfp,logical,,,,,,,Bitwise Logical AND of Packed Single-FP Values
66,0F,54,,,r,,,,,,ANDPD,Vpd,Wpd,,,sse2,pcksclr,logical,,,,,,,Bitwise Logical AND of Packed Double-FP Values
,0F,55,,,r,,,,,,ANDNPS,Vps,Wps,,,sse1,simdfp,logical,,,,,,,Bitwise Logical AND NOT of Packed Single-FP Values
66,0F,55,,,r,,,,,,ANDNPD,Vpd,Wpd,,,sse2,pcksclr,logical,,,,,,,Bitwise Logical AND NOT of Packed Double-FP Values
,0F,56,,,r,,,,,,ORPS,Vps,Wps,,,sse1,simdfp,logical,,,,,,,Bitwise Logical OR of Single-FP Values
66,0F,56,,,r,,,,,,ORPD,Vpd,Wpd,,,sse2,pcksclr,logical,,,,,,,Bitwise Logical OR of Double-FP Values
,0F,57,,,r,,,,,,XORPS,Vps,Wps,,,sse1,simdfp,logical,,,,,,,Bitwise Logical XOR for Single-FP Values
66,0F,57,,,r,,,,,,XORPD,Vpd,Wpd,,,sse2,pcksclr,logical,,,,,,,Bitwise Logical XOR for Double-FP Values
,0F,58,,,r,,,,,,ADDPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Add Packed Single-FP Values
F3,0F,58,,,r,,,,,,ADDSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Add Scalar Single-FP Values
66,0F,58,,,r,,,,,,ADDPD,Vpd,Wpd,,,sse2,pcksclr,arith,,,,,,,Add Packed Double-FP Values
F2,0F,58,,,r,,,,,,ADDSD,Vsd,Wsd,,,sse2,pcksclr,arith,,,,,,,Add Scalar Double-FP Values
,0F,59,,,r,,,,,,MULPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Multiply Packed Single-FP Values
F3,0F,59,,,r,,,,,,MULSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Multiply Scalar Single-FP Value
66,0F,59,,,r,,,,,,MULPD,Vpd,Wpd,,,sse2,pcksclr,arith,,,,,,,Multiply Packed Double-FP Values
F2,0F,59,,,r,,,,,,MULSD,Vsd,Wsd,,,sse2,pcksclr,arith,,,,,,,Multiply Scalar Double-FP Values
,0F,5A,,,r,,,,,,CVTPS2PD,Vpd,Wps,,,sse2,pcksclr,conver,,,,,,,Convert Packed Single-FP Values to Double-FP Values
66,0F,5A,,,r,,,,,,CVTPD2PS,Vps,Wpd,,,sse2,pcksclr,conver,,,,,,,Convert Packed Double-FP Values to Single-FP Values
F3,0F,5A,,,r,,,,,,CVTSS2SD,Vsd,Wss,,,sse2,pcksclr,conver,,,,,,,Convert Scalar Single-FP Value to Scalar Double-FP Value
F2,0F,5A,,,r,,,,,,CVTSD2SS,Vss,Wsd,,,sse2,pcksclr,conver,,,,,,,Convert Scalar Double-FP Value to Scalar Single-FP Value
,0F,5B,,,r,,,,,,CVTDQ2PS,Vps,Wdq,,,sse2,pcksp,,,,,,,,Convert Packed DW Integers to Single-FP Values
66,0F,5B,,,r,,,,,,CVTPS2DQ,Vdq,Wps,,,sse2,pcksp,,,,,,,,Convert Packed Single-FP Values to DW Integers
F3,0F,5B,,,r,,,,,,CVTTPS2DQ,Vdq,Wps,,,sse2,pcksp,,,,,,,,Convert with Trunc. Packed Single-FP Values to DW Integers
,0F,5C,,,r,,,,,,SUBPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Subtract Packed Single-FP Values
F3,0F,5C,,,r,,,,,,SUBSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Subtract Scalar Single-FP Values
66,0F,5C,,,r,,,,,,SUBPD,Vpd,Wpd,,,sse2,pcksclr,arith,,,,,,,Subtract Packed Double-FP Values
F2,0F,5C,,,r,,,,,,SUBSD,Vsd,Wsd,,,sse2,pcksclr,arith,,,,,,,Subtract Scalar Double-FP Values
,0F,5D,,,r,,,,,,MINPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Return Minimum Packed Single-FP Values
F3,0F,5D,,,r,,,,,,MINSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Return Minimum Scalar Single-FP Value
66,0F,5D,,,r,,,,,,MINPD,Vpd,Wpd,,,sse2,pcksclr,arith,,,,,,,Return Minimum Packed Double-FP Values
F2,0F,5D,,,r,,,,,,MINSD,Vsd,Wsd,,,sse2,pcksclr,arith,,,,,,,Return Minimum Scalar Double-FP Value
,0F,5E,,,r,,,,,,DIVPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Divide Packed Single-FP Values
F3,0F,5E,,,r,,,,,,DIVSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Divide Scalar Single-FP Values
66,0F,5E,,,r,,,,,,DIVPD,Vpd,Wpd,,,sse2,pcksclr,arith,,,,,,,Divide Packed Double-FP Values
F2,0F,5E,,,r,,,,,,DIVSD,Vsd,Wsd,,,sse2,pcksclr,arith,,,,,,,Divide Scalar Double-FP Values
,0F,5F,,,r,,,,,,MAXPS,Vps,Wps,,,sse1,simdfp,arith,,,,,,,Return Maximum Packed Single-FP Values
F3,0F,5F,,,r,,,,,,MAXSS,Vss,Wss,,,sse1,simdfp,arith,,,,,,,Return Maximum Scalar Single-FP Value
66,0F,5F,,,r,,,,,,MAXPD,Vpd,Wpd,,,sse2,pcksclr,arith,,,,,,,Return Maximum Packed Double-FP Values
F2,0F,5F,,,r,,,,,,MAXSD,Vsd,Wsd,,,sse2,pcksclr,arith,,,,,,,Return Maximum Scalar Double-FP Value
,0F,60,,,r,,,,,,PUNPCKLBW,Pq,Qd,,,mmx,unpack,,,,,,,,Unpack Low Data
66,0F,60,,,r,,,,,,PUNPCKLBW,Vdq,Wdq,,,sse2,simdint,shunpck,,,,,,,Unpack Low Data
,0F,61,,,r,,,,,,PUNPCKLWD,Pq,Qd,,,mmx,unpack,,,,,,,,Unpack Low Data
66,0F,61,,,r,,,,,,PUNPCKLWD,Vdq,Wdq,,,sse2,simdint,shunpck,,,,,,,Unpack Low Data
,0F,62,,,r,,,,,,PUNPCKLDQ,Pq,Qd,,,mmx,unpack,,,,,,,,Unpack Low Data
66,0F,62,,,r,,,,,,PUNPCKLDQ,Vdq,Wdq,,,sse2,simdint,shunpck,,,,,,,Unpack Low Data
,0F,63,,,r,,,,,,PACKSSWB,Pq,Qd,,,mmx,conver,,,,,,,,Pack with Signed Saturation
66,0F,63,,,r,,,,,,PACKSSWB,Vdq,Wdq,,,sse2,simdint,conver,,,,,,,Pack with Signed Saturation
,0F,64,,,r,,,,,,PCMPGTB,Pq,Qd,,,mmx,compar,,,,,,,,Compare Packed Signed Integers for Greater Than
66,0F,64,,,r,,,,,,PCMPGTB,Vdq,Wdq,,,sse2,simdint,compar,,,,,,,Compare Packed Signed Integers for Greater Than
,0F,65,,,r,,,,,,PCMPGTW,Pq,Qd,,,mmx,compar,,,,,,,,Compare Packed Signed Integers for Greater Than
66,0F,65,,,r,,,,,,PCMPGTW,Vdq,Wdq,,,sse2,simdint,compar,,,,,,,Compare Packed Signed Integers for Greater Than
,0F,66,,,r,,,,,,PCMPGTD,Pq,Qd,,,mmx,compar,,,,,,,,Compare Packed Signed Integers for Greater Than
66,0F,66,,,r,,,,,,PCMPGTD,Vdq,Wdq,,,sse2,simdint,compar,,,,,,,Compare Packed Signed Integers for Greater Than
,0F,67,,,r,,,,,,PACKUSWB,Pq,Qq,,,mmx,conver,,,,,,,,Pack with Unsigned Saturation
66,0F,67,,,r,,,,,,PACKUSWB,Vdq,Wdq,,,sse2,simdint,conver,,,,,,,Pack with Unsigned Saturation
,0F,68,,,r,,,,,,PUNPCKHBW,Pq,Qq,,,mmx,unpack,,,,,,,,Unpack High Data
66,0F,68,,,r,,,,,,PUNPCKHBW,Vdq,Wdq,,,sse2,simdint,shunpck,,,,,,,Unpack High Data
,0F,69,,,r,,,,,,PUNPCKHWD,Pq,Qq,,,mmx,unpack,,,,,,,,Unpack High Data
66,0F,69,,,r,,,,,,PUNPCKHWD,Vdq,Wdq,,,sse2,simdint,shunpck,,,,,,,Unpack High Data
,0F,6A,,,r,,,,,,PUNPCKHDQ,Pq,Qq,,,mmx,unpack,,,,,,,,Unpack High Data
66,0F,6A,,,r,,,,,,PUNPCKHDQ,Vdq,Wdq,,,sse2,simdint,shunpck,,,,,,,Unpack High Data
,0F,6B,,,r,,,,,,PACKSSDW,Pq,Qq,,,mmx,conver,,,,,,,,Pack with Signed Saturation
66,0F,6B,,,r,,,,,,PACKSSDW,Vdq,Wdq,,,sse2,simdint,conver,,,,,,,Pack with Signed Saturation
66,0F,6C,,,r,,,,,,PUNPCKLQDQ,Vdq,Wdq,,,sse2,simdint,shunpck,,,,,,,Unpack Low Data
66,0F,6D,,,r,,,,,,PUNPCKHQDQ,Vdq,Wdq,,,sse2,simdint,shunpck,,,,,,,Unpack High Data
,0F,6E,,,r,,D22,E,,,MOVD,Pq,Ed,,,mmx,datamov,,,,,,,,Move Doubleword/Quadword
,,,,,,,,,,,MOVQ,Pq,Eqp,,,,,,,,,,,,
66,0F,6E,,,r,,D22,E,,,MOVD,Vdq,Ed,,,sse2,simdint,datamov,,,,,,,Move Doubleword/Quadword
,,,,,,,,,,,MOVQ,Vdq,Eqp,,,,,,,,,,,,
,0F,6F,,,r,,,,,,MOVQ,Pq,Qq,,,mmx,datamov,,,,,,,,Move Quadword
66,0F,6F,,,r,,,,,,MOVDQA,Vdq,Wdq,,,sse2,simdint,datamov,,,,,,,Move Aligned Double Quadword
F3,0F,6F,,,r,,,,,,MOVDQU,Vdq,Wdq,,,sse2,simdint,datamov,,,,,,,Move Unaligned Double Quadword
,0F,70,,,r,,,,,,PSHUFW,Pq,Qq,Ib,,sse1,simdint,,,,,,,,Shuffle Packed Words
F2,0F,70,,,r,,,,,,PSHUFLW,Vdq,Wdq,Ib,,sse2,simdint,shunpck,,,,,,,Shuffle Packed Low Words
F3,0F,70,,,r,,,,,,PSHUFHW,Vdq,Wdq,Ib,,sse2,simdint,shunpck,,,,,,,Shuffle Packed High Words
66,0F,70,,,r,,,,,,PSHUFD,Vdq,Wdq,Ib,,sse2,simdint,shunpck,,,,,,,Shuffle Packed Doublewords
,0F,71,,,2,,,,,,PSRLW,Nq,Ib,,,mmx,shift,,,,,,,,Shift Packed Data Right Logical
66,0F,71,,,2,,,,,,PSRLW,Udq,Ib,,,sse2,shift,,,,,,,,Shift Packed Data Right Logical
,0F,71,,,4,,,,,,PSRAW,Nq,Ib,,,mmx,shift,,,,,,,,Shift Packed Data Right Arithmetic
66,0F,71,,,4,,,,,,PSRAW,Udq,Ib,,,sse2,shift,,,,,,,,Shift Packed Data Right Arithmetic
,0F,71,,,6,,,,,,PSLLW,Nq,Ib,,,mmx,shift,,,,,,,,Shift Packed Data Left Logical
66,0F,71,,,6,,,,,,PSLLW,Udq,Ib,,,sse2,shift,,,,,,,,Shift Packed Data Left Logical
,0F,72,,,2,,,,,,PSRLD,Nq,Ib,,,mmx,shift,,,,,,,,Shift Double Quadword Right Logical
66,0F,72,,,2,,,,,,PSRLD,Udq,Ib,,,sse2,shift,,,,,,,,Shift Double Quadword Right Logical
,0F,72,,,4,,,,,,PSRAD,Nq,Ib,,,mmx,shift,,,,,,,,Shift Packed Data Right Arithmetic
66,0F,72,,,4,,,,,,PSRAD,Udq,Ib,,,sse2,shift,,,,,,,,Shift Packed Data Right Arithmetic
,0F,72,,,6,,,,,,PSLLD,Nq,Ib,,,mmx,shift,,,,,,,,Shift Packed Data Left Logical
66,0F,72,,,6,,,,,,PSLLD,Udq,Ib,,,sse2,shift,,,,,,,,Shift Packed Data Left Logical
,0F,73,,,2,,,,,,PSRLQ,Nq,Ib,,,mmx,shift,,,,,,,,Shift Packed Data Right Logical
66,0F,73,,,2,,,,,,PSRLQ,Udq,Ib,,,sse2,shift,,,,,,,,Shift Packed Data Right Logical
66,0F,73,,,3,,,,,,PSRLDQ,Udq,Ib,,,sse2,simdint,shift,,,,,,,Shift Double Quadword Right Logical
,0F,73,,,6,,,,,,PSLLQ,Nq,Ib,,,mmx,shift,,,,,,,,Shift Packed Data Left Logical
66,0F,73,,,6,,,,,,PSLLQ,Udq,Ib,,,sse2,shift,,,,,,,,Shift Packed Data Left Logical
66,0F,73,,,7,,,,,,PSLLDQ,Udq,Ib,,,sse2,simdint,shift,,,,,,,Shift Double Quadword Left Logical
,0F,74,,,r,,,,,,PCMPEQB,Pq,Qq,,,mmx,compar,,,,,,,,Compare Packed Data for Equal
66,0F,74,,,r,,,,,,PCMPEQB,Vdq,Wdq,,,sse2,simdint,compar,,,,,,,Compare Packed Data for Equal
,0F,75,,,r,,,,,,PCMPEQW,Pq,Qq,,,mmx,compar,,,,,,,,Compare Packed Data for Equal
66,0F,75,,,r,,,,,,PCMPEQW,Vdq,Wdq,,,sse2,simdint,compar,,,,,,,Compare Packed Data for Equal
,0F,76,,,r,,,,,,PCMPEQD,Pq,Qq,,,mmx,compar,,,,,,,,Compare Packed Data for Equal
66,0F,76,,,r,,,,,,PCMPEQD,Vdq,Wdq,,,sse2,simdint,compar,,,,,,,Compare Packed Data for Equal
,0F,77,,,,,,,,,EMMS,,,,,mmx,x87fpu,control,,,,,,,Empty MMX Technology State
,0F,78,,,r,,D33,E,0,,VMREAD,Eq,Gq,,,vmx,,,,,o..szapc,o..szapc,,,Read Field from Virtual-Machine Control Structure
,0F,79,,,r,,D33,E,0,,VMWRITE,Gq,Eq,,,vmx,,,,,o..szapc,o..szapc,,,Write Field to Virtual-Machine Control Structure
66,0F,7C,,,r,,,,,,HADDPD,Vpd,Wpd,,,sse3,simdfp,arith,,,,,,,Packed Double-FP Horizontal Add
F2,0F,7C,,,r,,,,,,HADDPS,Vps,Wps,,,sse3,simdfp,arith,,,,,,,Packed Single-FP Horizontal Add
66,0F,7D,,,r,,,,,,HSUBPD,Vpd,Wpd,,,sse3,simdfp,arith,,,,,,,Packed Double-FP Horizontal Subtract
F2,0F,7D,,,r,,,,,,HSUBPS,Vps,Wps,,,sse3,simdfp,arith,,,,,,,Packed Single-FP Horizontal Subtract
,0F,7E,,,r,,D22,E,,,MOVD,Ed,Pq,,,mmx,datamov,,,,,,,,Move Doubleword/Quadword
,,,,,,,,,,,MOVQ,Eqp,Pq,,,,,,,,,,,,
66,0F,7E,,,r,,D22,E,,,MOVD,Ed,Vdq,,,sse2,simdint,datamov,,,,,,,Move Doubleword/Quadword
,,,,,,,,,,,MOVQ,Eqp,Vdq,,,,,,,,,,,,
F3,0F,7E,,,r,,,,,,MOVQ,Vq,Wq,,,sse2,simdint,datamov,,,,,,,Move Quadword
,0F,7F,,,r,,,,,,MOVQ,Qq,Pq,,,mmx,datamov,,,,,,,,Move Quadword
66,0F,7F,,,r,,,,,,MOVDQA,Wdq,Vdq,,,sse2,simdint,datamov,,,,,,,Move Aligned Double Quadword
F3,0F,7F,,,r,,,,,,MOVDQU,Wdq,Vdq,,,sse2,simdint,datamov,,,,,,,Move Unaligned Double Quadword
,0F,80,,tttn,,,D32,,,,JO,Jvds,,,,,gen,branch,cond,o.......,,,,,Jump near if overflow (OF=1)
,0F,81,,tttN,,,D32,,,,JNO,Jvds,,,,,gen,branch,cond,o.......,,,,,Jump near if not overflow (OF=0)
,0F,82,,ttTn,,,D32,,,,JB,Jvds,,,,,gen,branch,cond,.......c,,,,,Jump near if below/not above or equal/carry (CF=1)
,,,,,,,,,,,JNAE,Jvds,,,,,,,,,,,,,
,,,,,,,,,,,JC,Jvds,,,,,,,,,,,,,
,0F,83,,ttTN,,,D32,,,,JNB,Jvds,,,,,gen,branch,cond,.......c,,,,,Jump near if not below/above or equal/not carry (CF=0)
,,,,,,,,,,,JAE,Jvds,,,,,,,,,,,,,
,,,,,,,,,,,JNC,Jvds,,,,,,,,,,,,,
,0F,84,,tTtn,,,D32,,,,JZ,Jvds,,,,,gen,branch,cond,....z...,,,,,Jump near if zero/equal (ZF=1)
,,,,,,,,,,,JE,Jvds,,,,,,,,,,,,,
,0F,85,,tTtN,,,D32,,,,JNZ,Jvds,,,,,gen,branch,cond,....z...,,,,,Jump near if not zero/not equal (ZF=0)
,,,,,,,,,,,JNE,Jvds,,,,,,,,,,,,,
,0F,86,,tTTn,,,D32,,,,JBE,Jvds,,,,,gen,branch,cond,....z..c,,,,,Jump near if below or equal/not above (CF=1 OR ZF=1)
,,,,,,,,,,,JNA,Jvds,,,,,,,,,,,,,
,0F,87,,tTTN,,,D32,,,,JNBE,Jvds,,,,,gen,branch,cond,....z..c,,,,,Jump near if not below or equal/above (CF=0 AND ZF=0)
,,,,,,,,,,,JA,Jvds,,,,,,,,,,,,,
,0F,88,,Tttn,,,D32,,,,JS,Jvds,,,,,gen,branch,cond,...s....,,,,,Jump near if sign (SF=1)
,0F,89,,TttN,,,D32,,,,JNS,Jvds,,,,,gen,branch,cond,...s....,,,,,Jump near if not sign (SF=0)
,0F,8A,,TtTn,,,D32,,,,JP,Jvds,,,,,gen,branch,cond,......p.,,,,,Jump near if parity/parity even (PF=1)
